TOPIC,PROBLEM LINK,SOLUTION
Graph,"Create a Graph, print it","1. Problem Summary: The task is to create a graph from a given set of edges and vertices, and then print the graph. The graph can be either directed or undirected.

2. Approach: To create and print a graph, we'll use an adjacency list, which is efficient in terms of space and time complexity for sparse graphs. Start by initializing a map or vector of lists, where each key or index represents a vertex and the list contains the neighboring vertices. For each edge provided, add the vertex to the adjacency list of its neighbor. If the graph is undirected, add both vertices to each other's lists. To print the graph, iterate over the adjacency list and print each vertex followed by its adjacent vertices.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void createAndPrintGraph(int V, vector<pair<int, int>> edges, bool isDirected) {
    vector<vector<int>> adj(V); // Adjacency list
    for (auto edge : edges) {
        int u = edge.first;
        int v = edge.second;
        adj[u].push_back(v); // Add v to u's list
        if (!isDirected) {
            adj[v].push_back(u); // Add u to v's list for undirected graph
        }
    }
    
    // Printing the graph
    for (int i = 0; i < V; i++) {
        cout << i << "": "";
        for (int j : adj[i]) {
            cout << j << "" "";
        }
        cout << endl;
    }
}

int main() {
    int V = 5; // Number of vertices
    vector<pair<int, int>> edges = {{0, 1}, {0, 4}, {1, 3}, {1, 4}, {2, 1}};
    bool isDirected = false;
    createAndPrintGraph(V, edges, isDirected);
    return 0;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(V + E) where V is the number of vertices and E is the number of edges. The space complexity is also O(V + E), as we store each edge and vertex in the adjacency list."
Graph,Implement BFS algorithm ,"1. Problem Summary:  
   The task is to implement the Breadth-First Search (BFS) algorithm for traversing or searching tree or graph data structures. It starts at an arbitrary node and explores all its neighboring nodes at the present depth prior to moving on to nodes at the next depth level.

2. Approach:  
   BFS uses a queue data structure to achieve a level-order traversal. Start by pushing the root node into the queue. As long as the queue is not empty, repeatedly dequeue the front node, process it, and enqueue all its unvisited neighbors. To avoid processing a node more than once, mark it as visited. This approach ensures that each node is processed in increasing distance order from the starting node, which is useful for shortest path finding in an unweighted graph.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void BFS(int start, vector<vector<int>>& adj) {
    vector<bool> visited(adj.size(), false);
    queue<int> q;

    visited[start] = true;
    q.push(start);

    while (!q.empty()) {
        int node = q.front();
        q.pop();
        cout << node << "" "";

        for (int neighbor : adj[node]) {
            if (!visited[neighbor]) {
                visited[neighbor] = true;
                q.push(neighbor);
            }
        }
    }
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(V + E) where V is the number of vertices and E is the number of edges. The space complexity is O(V) due to the storage needed for the visited array and the queue."
Graph,Implement DFS Algo ,"1. Problem Summary: Depth First Search (DFS) is a fundamental graph traversal algorithm used to explore nodes and edges of a graph. It dives deeper into the graph as far as possible before backtracking.

2. Approach: DFS can be implemented using recursion or a stack. Starting from a source node, the algorithm explores as deep as possible along each branch before backtracking. This is achieved by marking visited nodes to avoid cycles and using a stack to keep track of the next node to visit. The recursive approach mimics the stack behavior inherently. The intuition behind DFS is similar to exploring a maze; move forward as much as possible and when you can't, backtrack to the last decision point and try a different path.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void DFS(int v, vector<bool>& visited, vector<int> adj[]) {
    visited[v] = true; // Mark the current node as visited
    cout << v << "" ""; // Process the current node (e.g., print it)

    // Recur for all the vertices adjacent to this vertex
    for (int u : adj[v]) {
        if (!visited[u]) { // If the adjacent node is not visited
            DFS(u, visited, adj); // Recursively visit the node
        }
    }
}

void startDFS(int V, vector<int> adj[]) {
    vector<bool> visited(V, false); // Create a visited array and initialize it

    // Call the recursive helper function to print DFS traversal
    for (int i = 0; i < V; i++) {
        if (!visited[i]) { // If the vertex i is not visited
            DFS(i, visited, adj); // Start DFS from vertex i
        }
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(V + E) where V is the number of vertices and E is the number of edges. The space complexity is O(V) due to the storage of visited nodes and the recursion call stack."
Graph,Detect Cycle in Directed Graph using BFS/DFS Algo ,"1. Problem Summary: The task is to detect if a cycle exists in a directed graph using BFS or DFS algorithms. A cycle in a directed graph indicates the possibility of returning to a node along the directed edges.

2. Approach: For detecting cycles in directed graphs using DFS, we use a recursive approach along with two markers: visited and recStack (recursive stack). Each node is initially marked unvisited. As we traverse using DFS, we mark nodes as visited and also add them to the recStack. If we encounter a node that is already in the recStack during DFS, a cycle is detected. After exploring all paths from a node, it is removed from recStack, indicating that all paths from this node are processed and no cycle from this node was found. This approach intuitively uses the recStack to keep track of nodes in the current DFS path, and if we revisit any of these nodes, it confirms a cycle.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool isCyclicUtil(int v, vector<bool> &visited, vector<bool> &recStack, vector<int> adj[]) {
    if(!visited[v]) {
        visited[v] = true;
        recStack[v] = true;
        for(auto i = adj[v].begin(); i != adj[v].end(); ++i) {
            if (!visited[*i] && isCyclicUtil(*i, visited, recStack, adj))
                return true;
            else if (recStack[*i])
                return true;
        }
    }
    recStack[v] = false;
    return false;
}

bool isCyclic(int V, vector<int> adj[]) {
    vector<bool> visited(V, false);
    vector<bool> recStack(V, false);
    for(int i = 0; i < V; i++)
        if (isCyclicUtil(i, visited, recStack, adj))
            return true;
    return false;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(V+E) where V is the number of vertices and E is the number of edges. The space complexity is O(V) due to the storage of visited and recursion stack arrays."
Graph,Detect Cycle in UnDirected Graph using BFS/DFS Algo ,"1. Problem Summary: Detecting a cycle in an undirected graph is a fundamental problem that checks whether the graph contains a loop. This is crucial for understanding graph properties and for applications such as network analysis.

2. Approach: To detect a cycle using BFS or DFS, we traverse the graph, starting from an arbitrary node, and keep track of visited nodes. The core idea is to visit all adjacent vertices and check if any of these vertices were visited previously but are not the parent of the current vertex, which indicates a cycle. For BFS, we use a queue and for DFS, a recursive stack method can be employed. Maintaining a parent array or variable helps in checking whether the visited node is the parent or not, thereby detecting cycles effectively.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

bool isCyclicUtil(int v, vector<bool> &visited, int parent, vector<int> adj[]) {
    visited[v] = true;
    for (auto i : adj[v]) {
        if (!visited[i]) {
            if (isCyclicUtil(i, visited, v, adj))
                return true;
        } else if (i != parent) {
            return true;
        }
    }
    return false;
}

bool isCyclic(vector<int> adj[], int V) {
    vector<bool> visited(V, false);
    for (int i = 0; i < V; i++) {
        if (!visited[i]) {
            if (isCyclicUtil(i, visited, -1, adj))
                return true;
        }
    }
    return false;
}
```

4. Time Complexity and Space Complexity: The time complexity for this algorithm is O(V+E) where V is the number of vertices and E is the number of edges. The space complexity is O(V), due to the storage needed for the visited array and recursion stack (in the case of DFS)."
Graph,Search in a Maze,"1. Problem Summary: 
   The ""Search in a Maze"" problem involves finding a path from a starting point to a destination in a grid-based maze. The maze is represented as a 2D array where open paths and blocked cells are denoted by specific values.

2. Approach: 
   The optimal approach to solve this problem is using Depth-First Search (DFS) or Breadth-First Search (BFS). Start from the given starting point, and explore all possible paths using recursion (for DFS) or a queue (for BFS). Mark cells as visited when they are included in the path to prevent revisiting and explore all four possible directions (up, down, left, right) from each cell. If the destination is reached, return true; otherwise, backtrack if a path leads to a dead end or all possibilities are explored without success.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool searchMaze(vector<vector<int>>& maze, int x, int y, vector<vector<int>>& visited, int destX, int destY) {
    // Check boundaries and if the cell is open and not visited
    if (x < 0 || x >= maze.size() || y < 0 || y >= maze[0].size() || maze[x][y] == 0 || visited[x][y] == 1)
        return false;
    // Mark the cell as visited
    visited[x][y] = 1;
    // If destination is reached
    if (x == destX && y == destY) return true;
    // Explore in all four possible directions
    if (searchMaze(maze, x + 1, y, visited, destX, destY) ||
        searchMaze(maze, x - 1, y, visited, destX, destY) ||
        searchMaze(maze, x, y + 1, visited, destX, destY) ||
        searchMaze(maze, x, y - 1, visited, destX, destY))
        return true;
    // Backtrack
    visited[x][y] = 0;
    return false;
}

bool hasPath(vector<vector<int>>& maze, int startX, int startY, int destX, int destY) {
    vector<vector<int>> visited(maze.size(), vector<int>(maze[0].size(), 0));
    return searchMaze(maze, startX, startY, visited, destX, destY);
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(M*N) where M and N are the dimensions of the maze, since each cell is visited at most once. The space complexity is also O(M*N) due to the recursion stack (in case of DFS) or the queue (in BFS) and the visited array."
Graph,Minimum Step by Knight,"1. Problem Summary: The ""Minimum Step by Knight"" problem involves finding the shortest path a knight can take on a chessboard to reach a target position from a starting position. The board can be of any size, and the knight moves in its standard L-shaped pattern.

2. Approach: The problem is best approached using the Breadth-First Search (BFS) algorithm due to its layer-by-layer exploration, which is suitable for finding the shortest path in an unweighted grid-like scenario. We begin by enqueuing the starting position of the knight along with a step count initialized to zero. For each position, we explore all possible knight moves (there are up to 8), and for each valid move (i.e., within the board limits and not previously visited), we enqueue the new position with the step count incremented by one. This continues until the target position is dequeued, at which point the associated step count is the minimum number of moves.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int minKnightMoves(int x1, int y1, int x2, int y2) {
    vector<vector<bool>> visited(8, vector<bool>(8, false));
    queue<pair<pair<int, int>, int>> q;
    vector<int> dx = {2, 1, -1, -2, -2, -1, 1, 2};
    vector<int> dy = {1, 2, 2, 1, -1, -2, -2, -1};

    q.push({{x1, y1}, 0});
    visited[x1][y1] = true;

    while (!q.empty()) {
        auto current = q.front(); q.pop();
        int x = current.first.first, y = current.first.second, dist = current.second;

        if (x == x2 && y == y2) return dist;

        for (int i = 0; i < 8; i++) {
            int nx = x + dx[i], ny = y + dy[i];
            if (nx >= 0 && nx < 8 && ny >= 0 && ny < 8 && !visited[nx][ny]) {
                visited[nx][ny] = true;
                q.push({{nx, ny}, dist + 1});
            }
        }
    }

    return -1; // if no path found, though this case won't occur in a standard chessboard
}
```

4. Time Complexity and Space Complexity: The time complexity is O(N^2) and the space complexity is also O(N^2), where N is the dimension of the chessboard (typically N=8 for a standard board)."
Graph,flood fill algo,"1. Problem Summary:
   The flood fill algorithm is used to change the color of a contiguous region of pixels in a 2D image to a new color, starting from a given pixel if it matches the original color of that pixel.

2. Approach:
   The flood fill algorithm can be implemented using either depth-first search (DFS) or breadth-first search (BFS). The DFS approach is typically recursive, starting from the target pixel, checking if it matches the original color, and then recursively applying the same operation to its neighboring pixels (up, down, left, right). Before making a recursive call, the color of the current pixel is changed to the new color to prevent revisiting. It's crucial to check boundary conditions to avoid accessing pixels outside the image.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

void floodFillUtil(vector<vector<int>> &screen, int x, int y, int prevColor, int newColor) {
    int m = screen.size();
    int n = screen[0].size();
    if (x < 0 || x >= m || y < 0 || y >= n || screen[x][y] != prevColor) return;
    screen[x][y] = newColor;
    floodFillUtil(screen, x + 1, y, prevColor, newColor);
    floodFillUtil(screen, x - 1, y, prevColor, newColor);
    floodFillUtil(screen, x, y + 1, prevColor, newColor);
    floodFillUtil(screen, x, y - 1, prevColor, newColor);
}

void floodFill(vector<vector<int>> &screen, int x, int y, int newColor) {
    int prevColor = screen[x][y];
    if (prevColor == newColor) return;
    floodFillUtil(screen, x, y, prevColor, newColor);
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(M*N), where M is the number of rows and N is the number of columns in the image, as each pixel is processed once. The space complexity is O(M*N) in the worst case due to the recursion stack depth in DFS."
Graph,Clone a graph,"1. Problem Summary: The ""Clone a graph"" problem involves creating a copy of a given graph where each node and its connections (edges) are duplicated exactly. The graph can be represented using adjacency lists and may contain cycles and self-loops.

2. Approach: To clone a graph, use a depth-first search (DFS) or breadth-first search (BFS) traversal. Start by creating a copy of the first node and use a hash map to store the mapping of original nodes to their clones. This map also helps in avoiding infinite loops caused by cycles in the graph. For each node visited, copy its neighbors if they haven't been copied yet, and recursively continue this process. Using a map ensures that each node is copied exactly once and all connections are preserved in the cloned graph.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

class Node {
public:
    int val;
    vector<Node*> neighbors;
    Node(int _val) {
        val = _val;
        neighbors = vector<Node*>();
    }
};

Node* cloneGraph(Node* node) {
    if (!node) return NULL;
    unordered_map<Node*, Node*> copies;
    return dfs(node, copies);
}

Node* dfs(Node* node, unordered_map<Node*, Node*>& copies) {
    if (copies.find(node) != copies.end())
        return copies[node];
    
    Node* cloneNode = new Node(node->val);
    copies[node] = cloneNode;
    for (Node* neighbor : node->neighbors) {
        cloneNode->neighbors.push_back(dfs(neighbor, copies));
    }
    return cloneNode;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(V + E), where V is the number of vertices and E is the number of edges, due to the traversal of each node and edge once. The space complexity is O(V), which is used by the hash map and the recursion stack."
Graph,Making wired Connections,"1. Problem Summary: The problem involves finding the minimum number of operations needed to connect all computers in a network using available cables. Each cable connects two computers directly, and the goal is to ensure that all computers are connected either directly or indirectly.

2. Approach: The problem can be modeled as finding the number of connected components in a graph, where each node represents a computer and each edge represents a cable. We can solve this problem using the Union-Find (Disjoint Set Union, DSU) data structure. First, initialize each computer as its own set. For each cable connecting two computers, unite their sets. After processing all cables, the number of unique sets (connected components) gives the number of operations needed, which is the number of components minus one (to connect them all together). This approach intuitively groups computers into sets, making it easier to visualize and count connections.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int find(vector<int>& parent, int i) {
    if (parent[i] != i) {
        parent[i] = find(parent, parent[i]); // path compression
    }
    return parent[i];
}

void unionSet(vector<int>& parent, vector<int>& rank, int x, int y) {
    int rootX = find(parent, x);
    int rootY = find(parent, y);
    if (rootX != rootY) {
        if (rank[rootX] > rank[rootY]) {
            parent[rootY] = rootX;
        } else if (rank[rootX] < rank[rootY]) {
            parent[rootX] = rootY;
        } else {
            parent[rootY] = rootX;
            rank[rootX]++;
        }
    }
}

int makeConnected(int n, vector<vector<int>>& connections) {
    if (connections.size() < n - 1) return -1; // not enough cables to connect all computers
    vector<int> parent(n), rank(n, 0);
    for (int i = 0; i < n; i++) {
        parent[i] = i;
    }
    for (auto& conn : connections) {
        unionSet(parent, rank, conn[0], conn[1]);
    }
    unordered_set<int> uniqueParents;
    for (int i = 0; i < n; i++) {
        uniqueParents.insert(find(parent, i));
    }
    return uniqueParents.size() - 1;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(N + M) where N is the number of computers and M is the number of connections, due to the union-find operations. The space complexity is O(N) for storing parent and rank arrays."
Graph,word Ladder ,"1. Problem Summary: The Word Ladder problem involves finding the shortest transformation sequence from a start word to an end word by changing only one letter at a time, with each intermediate word being a valid word in a given dictionary.

2. Approach: The optimal approach uses a Breadth-First Search (BFS) algorithm. Start by adding the beginWord to a queue along with a step count. For each word, iterate over its length and for each character position, try replacing it with every letter from 'a' to 'z'. If the new word is in the word list and hasn't been visited, add it to the queue. To optimize, use a bidirectional BFS, starting one BFS from the beginWord and another from the endWord, and meet in the middle. This significantly reduces the number of levels to explore.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int ladderLength(string beginWord, string endWord, vector<string>& wordList) {
    unordered_set<string> dict(wordList.begin(), wordList.end());
    if (dict.find(endWord) == dict.end()) return 0;
    
    queue<string> q;
    q.push(beginWord);
    int ladderLength = 1;

    while (!q.empty()) {
        int levelSize = q.size();
        for (int i = 0; i < levelSize; i++) {
            string word = q.front(); q.pop();
            if (word == endWord) return ladderLength;
            dict.erase(word);
            for (int pos = 0; pos < word.size(); pos++) {
                char originalChar = word[pos];
                for (char c = 'a'; c <= 'z'; c++) {
                    word[pos] = c;
                    if (dict.find(word) != dict.end()) {
                        q.push(word);
                        dict.erase(word);
                    }
                }
                word[pos] = originalChar;
            }
        }
        ladderLength++;
    }
    return 0;
}
```

4. Time Complexity and Space Complexity: Time complexity is O(N * L * 26), where N is the number of words in the dictionary and L is the length of each word. Space complexity is O(N), used for the queue and the dictionary set."
Graph,Dijkstra algo,"1. Problem Summary:  
   Dijkstra's algorithm is used to find the shortest paths from a source vertex to all other vertices in a weighted graph with non-negative edge weights.

2. Approach:  
   Dijkstra's algorithm uses a priority queue to greedily select the nearest vertex not yet processed, minimizing the distances iteratively. It starts by initializing the distance to the source node as zero and all other distances as infinity. In each step, the vertex with the smallest distance is extracted from the priority queue, and its adjacent nodes are updated if a shorter path through this vertex is found. This update potentially decreases the distance to these adjacent nodes, and they are reinserted into the priority queue with their new distances. This process repeats until all vertices are processed or the priority queue is empty.

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   void dijkstra(vector<vector<pair<int, int>>>& graph, int src, vector<int>& dist) {
       int n = graph.size();
       dist.assign(n, INT_MAX);
       priority_queue<pair<int, int>, vector<pair<int, int>>, greater<pair<int, int>>> pq;

       dist[src] = 0;
       pq.push({0, src});

       while (!pq.empty()) {
           int u = pq.top().second;
           int d = pq.top().first;
           pq.pop();

           if (d > dist[u]) continue;

           for (auto& edge : graph[u]) {
               int v = edge.first, weight = edge.second;
               if (dist[u] + weight < dist[v]) {
                   dist[v] = dist[u] + weight;
                   pq.push({dist[v], v});
               }
           }
       }
   }
   ```

4. Time Complexity and Space Complexity:  
   The time complexity is O((V+E) log V) and the space complexity is O(V + E), where V is the number of vertices and E is the number of edges in the graph."
Graph,Implement Topological Sort ,"1. Problem Summary:  
   Topological sorting of a directed graph is a linear ordering of its vertices such that for every directed edge UV from vertex U to vertex V, U comes before V in the ordering. This problem is applicable in scenarios where there is a need to determine the sequence of tasks or events.

2. Approach:  
   The optimal algorithm for topological sorting uses Depth First Search (DFS) or Kahn's algorithm. Here, we'll focus on Kahn's algorithm due to its intuitive approach using in-degree concept. In Kahn's algorithm, you first calculate the in-degree (number of incoming edges) for each vertex. Start with all vertices with in-degree of 0 (no dependencies), and add them to a queue. While the queue is not empty, remove a vertex, add it to the topological sort order, and reduce the in-degree of its neighbors. If any neighbor's in-degree becomes 0, add it to the queue. Continue until all vertices are processed or the queue is empty.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<int> topologicalSort(vector<vector<int>>& graph, int numVertices) {
    vector<int> inDegree(numVertices, 0);
    vector<int> topoOrder;
    queue<int> q;

    // Calculate in-degrees
    for (int u = 0; u < numVertices; ++u) {
        for (int v : graph[u]) {
            inDegree[v]++;
        }
    }

    // Enqueue all vertices with in-degree 0
    for (int i = 0; i < numVertices; ++i) {
        if (inDegree[i] == 0) q.push(i);
    }

    while (!q.empty()) {
        int u = q.front();
        q.pop();
        topoOrder.push_back(u);
        // Process all adjacent vertices
        for (int v : graph[u]) {
            if (--inDegree[v] == 0) {
                q.push(v);
            }
        }
    }

    if (topoOrder.size() != numVertices) {
        throw runtime_error(""There exists a cycle in the graph"");
    }

    return topoOrder;
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(V + E) where V is the number of vertices and E is the number of edges, as each vertex and edge is processed once. The space complexity is O(V) due to the storage of in-degrees, queue, and the topological order list."
Graph,Minimum time taken by each job to be completed given by a Directed Acyclic Graph,"1. Problem Summary: The problem is to determine the minimum time required for each job to be completed where jobs are represented as nodes in a Directed Acyclic Graph (DAG), and edges indicate dependencies between jobs. Each job can only start once all its prerequisites are completed.

2. Approach: The optimal algorithm uses a topological sorting combined with a dynamic programming approach. First, perform a topological sort on the DAG to determine the order in which jobs should be processed. This ensures that all prerequisites of a job are processed before the job itself. For each node processed in topological order, calculate the maximum time taken for its prerequisites and add the time required for the current job. This can be efficiently done using an array where each index corresponds to a job and stores the maximum time required to complete that job up to that point.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<int> minCompletionTime(vector<vector<int>>& graph, vector<int>& jobTimes) {
    int n = graph.size();
    vector<int> inDegree(n, 0), minTime(n, 0);
    queue<int> q;

    // Calculate in-degrees
    for (int i = 0; i < n; ++i) {
        for (int adj : graph[i]) {
            inDegree[adj]++;
        }
    }

    // Initialize queue with jobs having no prerequisites
    for (int i = 0; i < n; ++i) {
        if (inDegree[i] == 0) {
            q.push(i);
            minTime[i] = jobTimes[i];
        }
    }

    // Process jobs in topological order
    while (!q.empty()) {
        int job = q.front();
        q.pop();
        for (int adj : graph[job]) {
            minTime[adj] = max(minTime[adj], minTime[job] + jobTimes[adj]);
            if (--inDegree[adj] == 0) {
                q.push(adj);
            }
        }
    }

    return minTime;
}
```

4. Time Complexity and Space Complexity: The algorithm runs in O(V + E) time and uses O(V) space, where V is the number of vertices (jobs) and E is the number of edges (dependencies) in the graph."
Graph,Find whether it is possible to finish all tasks or not from given dependencies,"1. Problem Summary:
   Determine if all tasks can be completed given a set of dependencies between tasks. This is essentially checking for a cycle in a directed graph where nodes represent tasks and edges represent dependencies.

2. Approach:
   To solve this problem, use a graph traversal technique called Topological Sorting which is applicable to directed acyclic graphs (DAGs). Represent the tasks as nodes and dependencies as directed edges in a graph. Use Depth First Search (DFS) to detect cycles in the graph. A cycle would mean it's impossible to complete all tasks. Specifically, maintain two sets of visited nodes: one for all visited nodes and another for nodes in the current recursive stack. If a node visited in the current recursive call is visited again, a cycle exists. If no cycles are found, all tasks can be completed.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool hasCycle(int node, vector<int> adj[], vector<bool>& visited, vector<bool>& recStack) {
    if (!visited[node]) {
        visited[node] = true;
        recStack[node] = true;
        for (int neighbor : adj[node]) {
            if (!visited[neighbor] && hasCycle(neighbor, adj, visited, recStack))
                return true;
            else if (recStack[neighbor])
                return true;
        }
    }
    recStack[node] = false;
    return false;
}

bool canFinishTasks(int numTasks, vector<pair<int, int>>& dependencies) {
    vector<int> adj[numTasks];
    vector<bool> visited(numTasks, false);
    vector<bool> recStack(numTasks, false);
    
    for (auto& dep : dependencies) {
        adj[dep.second].push_back(dep.first);
    }

    for (int i = 0; i < numTasks; i++) {
        if (!visited[i] && hasCycle(i, adj, visited, recStack))
            return false;
    }
    return true;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(V + E) where V is the number of tasks and E is the number of dependencies, due to the DFS traversal. The space complexity is also O(V + E) to store the graph and recursion stack."
